Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,close_rolling,close_top,close_bottom
2018-11-14,47.85,47.965,46.89,47.09,46.7946,25632731.0,0.0,1.0,,,
2018-11-15,47.01,48.24,46.72,48.11,47.8082,29580992.0,0.0,1.0,,,
2018-11-16,47.77,49.05,47.69,48.83,48.5237,31670572.0,0.0,1.0,,,
2018-11-19,48.61,49.15,47.78,48.0,47.6989,26859030.0,0.0,1.0,,,
2018-11-20,47.4,48.12,47.09,47.39,47.0927,29200847.0,0.0,1.0,,,
2018-11-21,47.85,47.88,47.02,47.03,46.735,19011435.0,0.0,1.0,47.345000000000006,48.523645520569225,46.16635447943079
2018-11-23,46.69,47.07,46.52,46.54,46.2481,8906879.0,0.0,1.0,47.456500000000005,48.41848957757786,46.49451042242215
2018-11-26,47.27,47.46,46.7,47.45,47.1523,20723037.0,0.0,1.0,47.544500000000006,48.41227680249438,46.67672319750563
2018-11-27,46.94,48.22,46.59,48.07,47.7685,27621025.0,0.0,1.0,47.67800000000001,48.38987373215081,46.96612626784921
2018-11-28,47.935,48.88,47.65,48.86,48.5535,28003222.0,0.0,1.0,47.73300000000001,48.49244647432748,46.97355352567254
2018-11-29,48.49,48.56,47.63,47.7,47.4008,23592512.0,0.0,1.0,47.774000000000015,48.506633318207264,47.041366681792766
2018-11-30,47.95,49.32,47.56,49.31,49.0007,43312603.0,0.0,1.0,47.828500000000005,48.633067716557356,47.023932283442655
2018-12-03,50.0,50.495,49.53,50.13,49.8155,30866818.0,0.0,1.0,47.97950000000001,48.91488325947458,47.04411674052544
2018-12-04,49.52,49.6,47.675,47.75,47.4505,35397722.0,0.0,1.0,47.968500000000006,48.905293382825306,47.031706617174706
2018-12-06,46.8,48.39,46.52,48.37,48.0666,31661749.0,0.0,1.0,48.0245,48.94948349914159,47.099516500858414
2018-12-07,47.94,48.06,46.23,46.24,45.9499,34016375.0,0.0,1.0,47.90050000000001,48.89123324786295,46.90976675213707
2018-12-10,46.28,47.46,46.01,47.21,46.9139,23289000.0,0.0,1.0,47.81150000000001,48.7788853801274,46.84411461987262
2018-12-11,47.9,48.59,47.13,47.38,47.0828,23850962.0,0.0,1.0,47.775000000000006,48.7442998015388,46.80570019846121
2018-12-12,48.58,48.64,47.41,47.83,47.53,31305045.0,0.0,1.0,47.83400000000001,48.766429763123156,46.901570236876864
2018-12-13,48.26,48.58,47.855,48.29,47.9871,19525963.0,0.0,1.0,47.879000000000005,48.81059116851931,46.9474088314807
2018-12-14,47.89,48.76,47.85,47.86,47.5598,26372077.0,0.0,1.0,47.917500000000004,48.83049319764573,47.00450680235428
2018-12-17,47.86,48.41,46.66,47.08,46.7847,26598676.0,0.0,1.0,47.86600000000001,48.79644641238268,46.935553587617335
2018-12-18,47.47,48.45,47.36,47.74,47.4405,29014290.0,0.0,1.0,47.81150000000001,48.714012720423554,46.908987279576465
2018-12-19,47.49,47.73,45.38,45.57,45.2841,39717559.0,0.0,1.0,47.69000000000001,48.720319316880385,46.65968068311964
2018-12-20,45.41,46.31,45.01,45.54,45.2543,37750948.0,0.0,1.0,47.59750000000001,48.73376755096167,46.46123244903835
2018-12-21,45.75,46.65,44.8,44.84,44.5587,52767741.0,0.0,1.0,47.488000000000014,48.77708208876665,46.19891791123338
2018-12-24,44.63,45.17,43.54,43.59,43.3166,19241563.0,0.0,1.0,47.34050000000001,48.88686236986917,45.794137630130855
2018-12-26,44.0,46.2,43.51,46.19,45.9002,28677632.0,0.0,1.0,47.27750000000001,48.8446928474354,45.710307152564624
2018-12-27,45.62,46.38,44.67,46.36,46.0692,29970725.0,0.0,1.0,47.19200000000001,48.76032663085616,45.62367336914385
2018-12-28,46.51,47.74,46.3,46.75,46.4567,24729695.0,0.0,1.0,47.08650000000001,48.606954485377734,45.56604551462228
2018-12-31,47.09,47.48,46.55,46.93,46.6356,20490405.0,0.0,1.0,47.048,48.56183653431656,45.53416346568344
2019-01-02,45.96,47.47,45.77,47.08,46.7847,18774573.0,0.0,1.0,46.9365,48.35402295070996,45.518977049290044
2019-01-03,46.15,46.28,44.39,44.49,44.2109,32267297.0,0.0,1.0,46.6545,47.95984316923699,45.34915683076301
2019-01-04,45.835,47.57,45.54,47.22,46.9238,35447286.0,0.0,1.0,46.628,47.91518624178967,45.34081375821033
2019-01-07,47.1,47.995,46.75,47.44,47.1424,22736796.0,0.0,1.0,46.5815,47.81825413460949,45.34474586539051
2019-01-08,47.8,48.03,46.78,47.74,47.4405,22749206.0,0.0,1.0,46.6565,47.91671416308582,45.39628583691418
2019-01-09,47.96,48.57,47.78,48.01,47.7088,22554525.0,0.0,1.0,46.6965,47.98752682511166,45.40547317488834
2019-01-10,47.75,48.65,47.41,48.56,48.2554,27202575.0,0.0,1.0,46.7555,48.10504368506348,45.40595631493652
2019-01-11,48.1,49.291,48.05,48.93,48.6231,21751291.0,0.0,1.0,46.8105,48.22689823050172,45.39410176949828
2019-01-14,48.46,48.83,48.3,48.35,48.0467,19193910.0,0.0,1.0,46.8135,48.23325637272552,45.393743627274475
2019-01-15,48.71,49.13,48.44,48.6,48.2951,22480820.0,0.0,1.0,46.8505,48.30810248353245,45.39289751646754
2019-01-16,48.6,48.89,48.08,48.13,47.8281,19057707.0,0.0,1.0,46.903,48.38795649413498,45.418043505865015
2019-01-17,48.0,48.84,47.905,48.47,48.1659,17448657.0,0.0,1.0,46.939499999999995,48.45477477098344,45.42422522901655
2019-01-18,49.11,49.38,48.69,49.19,48.8814,29874317.0,0.0,1.0,47.1205,48.679161622236066,45.561838377763934
2019-01-22,48.96,48.98,47.87,48.27,47.9672,25940722.0,0.0,1.0,47.257,48.78928106532642,45.724718934673575
2019-01-23,48.41,48.8,47.52,47.94,47.6393,18960709.0,0.0,1.0,47.41199999999999,48.840173658908455,45.98382634109153
2019-01-24,48.7,50.035,48.6,49.76,49.4479,50578269.0,0.0,1.0,47.720499999999994,48.92915072661516,46.511849273384826
2019-01-25,46.85,47.43,45.75,47.04,46.7449,86471848.0,0.0,1.0,47.76299999999999,48.92919985648393,46.59680014351605
2019-01-28,46.13,46.73,46.05,46.71,46.417,35928704.0,0.0,1.0,47.78049999999999,48.92699798585908,46.6340020141409
2019-01-29,46.78,46.97,46.33,46.54,46.2481,20988342.0,0.0,1.0,47.76999999999999,48.92734269136809,46.61265730863189
2019-01-30,46.68,47.68,46.45,47.54,47.2418,26931676.0,0.0,1.0,47.800499999999985,48.94247647224357,46.6585235277564
2019-01-31,46.7,47.18,46.1,47.12,46.8244,43051306.0,0.0,1.0,47.80249999999999,48.94318250576019,46.661817494239784
2019-02-01,47.06,49.05,47.01,48.73,48.4243,37442926.0,0.0,1.0,48.014499999999984,48.86397956203535,47.16502043796462
2019-02-04,48.62,49.24,48.24,49.22,48.9112,20905010.0,0.0,1.0,48.114499999999985,48.98303460980034,47.24596539019963
2019-02-05,49.18,50.7159,49.18,50.01,49.6963,31641570.0,0.0,1.0,48.24299999999998,49.19280385786805,47.29319614213191
2019-02-06,49.95,50.64,49.82,49.9,49.9,21647843.0,0.315,1.0,48.350999999999985,49.36146576024701,47.34053423975296
2019-02-07,49.5,49.85,48.68,49.23,49.23,27825875.0,0.0,1.0,48.411999999999985,49.43750937279198,47.38649062720799
2019-02-08,48.77,49.02,48.01,48.84,48.84,18851208.0,0.0,1.0,48.42599999999999,49.455539498488214,47.39646050151176
2019-02-11,49.02,49.32,48.58,48.77,48.77,18004088.0,0.0,1.0,48.41799999999999,49.444032727496904,47.39196727250308
2019-02-12,49.36,50.14,49.27,50.01,50.01,18050058.0,0.0,1.0,48.50099999999999,49.58665236269792,47.41534763730206
2019-02-13,50.13,50.81,50.0,50.47,50.47,17712782.0,0.0,1.0,48.59449999999999,49.76623948514703,47.422760514852946
2019-02-14,50.41,51.04,50.35,50.81,50.81,17545365.0,0.0,1.0,48.72849999999999,49.99382822868843,47.46317177131155
2019-02-15,51.25,51.67,51.09,51.66,51.66,22520361.0,0.0,1.0,48.88799999999999,50.31034276718674,47.46565723281324
2019-02-19,51.35,51.71,51.34,51.4,51.4,15611772.0,0.0,1.0,48.99849999999999,50.52739459552009,47.46960540447989
2019-02-20,51.63,51.73,51.06,51.39,51.39,21607726.0,0.0,1.0,49.1545,50.76228852694266,47.546711473057336
2019-02-21,51.32,51.84,51.21,51.41,51.41,16162142.0,0.0,1.0,49.327999999999996,50.98432630906633,47.67167369093366
2019-02-22,52.7,52.975,52.055,52.49,52.49,31934146.0,0.0,1.0,49.4645,51.264556943543745,47.66444305645626
2019-02-25,53.06,53.61,52.86,53.1,53.1,20711750.0,0.0,1.0,49.7675,51.64627864862425,47.88872135137574
2019-02-26,53.01,53.37,52.91,53.23,53.23,16082213.0,0.0,1.0,50.09349999999999,51.97947950259555,48.20752049740443
2019-02-27,52.76,53.38,52.51,53.24,53.24,17590309.0,0.0,1.0,50.4285,52.24378676870396,48.61321323129604
2019-02-28,52.92,53.18,52.81,52.96,52.96,18388820.0,0.0,1.0,50.6995,52.46475374648343,48.93424625351657
2019-03-01,53.44,53.68,52.89,53.3,53.3,18359325.0,0.0,1.0,51.0085,52.650809910493564,49.36619008950643
2019-03-04,53.75,54.1,53.205,53.94,53.94,21706135.0,0.0,1.0,51.26899999999999,52.94375654161562,49.59424345838436
2019-03-05,53.85,53.99,53.11,53.68,53.68,21057745.0,0.0,1.0,51.492,53.17646961822912,49.807530381770874
2019-03-06,53.63,53.65,52.94,52.95,52.95,14740525.0,0.0,1.0,51.638999999999996,53.31559711759772,49.96240288240227
2019-03-07,52.77,52.985,52.36,52.6,52.6,17803407.0,0.0,1.0,51.77399999999999,53.41144795015713,50.13655204984284
2019-03-08,51.97,52.56,51.7,52.48,52.48,16793891.0,0.0,1.0,51.93649999999999,53.46589367070749,50.40710632929249
2019-03-11,52.88,53.65,52.57,53.35,53.35,18962954.0,0.0,1.0,52.16199999999999,53.5353271163205,50.78867288367948
2019-03-12,53.34,53.96,53.175,53.57,53.57,20782077.0,0.0,1.0,52.40199999999999,53.55272791607845,51.25127208392152
2019-03-13,54.0,54.57,53.65,54.37,54.37,25522312.0,0.0,1.0,52.61999999999998,53.70482838807762,51.535171611922344
2019-03-14,54.3,54.45,53.33,53.44,53.44,26647060.0,0.0,1.0,52.76849999999998,53.740991509907545,51.79600849009242
2019-03-15,53.68,54.69,53.68,54.33,54.33,46485239.0,0.0,1.0,52.944499999999984,53.86078813556031,52.028211864439655
2019-03-18,54.42,54.505,53.87,54.1,54.1,16273986.0,0.0,1.0,53.06649999999998,53.965026718110295,52.16797328188966
2019-03-19,54.47,54.645,54.0,54.17,54.17,18274766.0,0.0,1.0,53.20499999999997,54.04468979234512,52.36531020765482
2019-03-20,54.06,54.4,53.61,53.82,53.82,23330717.0,0.0,1.0,53.32649999999997,54.058665317829075,52.59433468217086
2019-03-21,53.92,54.99,53.84,54.865,54.865,11607279.0,0.0,1.0,53.49924999999996,54.15948973915395,52.839010260845974
